Item,Contact_Name,Email,Postcode,Event,Event_Date,Status,Comments
RI-RI-429698,Emma Clarke,emma.clarke12@yahoo.co.uk,TQ4 3 WJ,Exhibition Tour,2026-12-01,Confirmed,Follow up required
RI-RI-643170,Samuel Bell,samuel.bell89@gmail.com,PL4 2 FS,Exhibition Tour,2026-12-01,Attended,Community partner
RI-RI-928361,Jack Walker,jack.walker44@icloud.com,PL4 6 ME,Exhibition Tour,2026-12-01,Confirmed,Community partner
RI-RI-891839,Freya Hall,freya.hall37@icloud.com,PL3 6 II,Exhibition Tour,2026-12-01,Confirmed,Follow up required
RI-RI-172199,Freya Wood,freya.wood53@yahoo.co.uk,TQ12 5 AU,Exhibition Tour,2026-12-01,Confirmed,
RI-RI-855797,Evie Murphy,evie.murphy16@hotmail.co.uk,EX2 1 UP,Exhibition Tour,2026-12-01,Attended,Community partner
RI-RI-621081,Charlie Brown,charlie.brown92@gmail.com,PL3 1 IJ,Exhibition Tour,2026-12-01,Confirmed,Follow up required
RI-RI-957411,Harry Taylor,harry.taylor16@yahoo.co.uk,PL9 2 RB,Exhibition Tour,2026-12-01,Confirmed,Follow up required
RI-RI-187453,Leo Moore,leo.moore80@outlook.com,EX4 9 JE,Exhibition Tour,2026-12-01,Confirmed,
RI-RI-697368,Megan Walker,megan.walker44@hotmail.co.uk,PL7 2 BU,History Workshop,2026-12-28,Confirmed,Community partner
RI-RI-535189,Poppy Allen,poppy.allen30@icloud.com,PL6 8 ZX,History Workshop,2026-12-28,Confirmed,Follow up required
RI-RI-746209,Jack Hill,jack.hill68@yahoo.co.uk,PL9 1 LR,History Workshop,2026-12-28,Confirmed,Repeat attendee
RI-RI-793513,William Johnson,william.johnson3@hotmail.co.uk,PL9 3 FV,History Workshop,2026-12-28,Confirmed,
RI-RI-983607,Ruby Cook,ruby.cook79@outlook.com,PL6 1 GD,History Workshop,2026-12-28,Confirmed,Community partner
RI-RI-673870,Harry Singh,harry.singh37@yahoo.co.uk,TA1 5 US,History Workshop,2026-12-28,Confirmed,
RI-RI-685024,William Patel,william.patel75@icloud.com,PL9 7 VK,History Workshop,2026-12-28,Cancelled,Community partner
RI-RI-958191,Ruby Brown,ruby.brown24@icloud.com,PL1 7 KA,History Workshop,2026-12-28,Confirmed,
RI-RI-832823,Emma Taylor,emma.taylor26@outlook.com,EX4 3 EE,History Workshop,2026-12-28,Confirmed,
RI-RI-619131,Sophie Hill,sophie.hill41@yahoo.co.uk,PL9 1 YY,History Workshop,2026-12-28,Confirmed,Repeat attendee
RI-RI-905132,George Allen,george.allen39@gmail.com,PL3 9 EP,History Workshop,2026-12-28,Confirmed,Community partner
RI-RI-252712,Lucas Green,lucas.green35@icloud.com,PL19 3 GR,History Workshop,2026-12-28,Attended,Follow up required
RI-RI-207958,Ruby Morgan,ruby.morgan84@icloud.com,PL2 3 EV,History Workshop,2026-12-28,Confirmed,Follow up required
RI-RI-508478,Joshua Perry,joshua.perry25@outlook.com,PL2 4 LM,History Workshop,2026-12-28,Confirmed,Community partner
RI-RI-179921,Charlie Morgan,charlie.morgan40@gmail.com,PL5 6 AK,Live Performance,2026-01-09,Attended,
RI-RI-239789,Evie Bell,evie.bell35@yahoo.co.uk,PL5 9 YN,Live Performance,2026-01-09,Confirmed,
RI-RI-855255,Ruby Patel,ruby.patel1@gmail.com,PL9 5 ET,Live Performance,2026-01-09,Confirmed,Follow up required
RI-RI-852747,Noah Wilson,noah.wilson85@yahoo.co.uk,PL2 8 PE,Live Performance,2026-01-09,Confirmed,
RI-RI-460656,Jack Wood,jack.wood68@yahoo.co.uk,PL4 4 ZB,Live Performance,2026-01-09,Confirmed,Community partner
RI-RI-918455,Poppy Singh,poppy.singh31@outlook.com,EX1 7 UE,Live Performance,2026-01-09,Confirmed,Community partner
RI-RI-479567,Daniel Cook,daniel.cook84@gmail.com,PL21 8 ZQ,Live Performance,2026-01-09,Confirmed,Repeat attendee
RI-RI-935911,Alice Young,alice.young57@icloud.com,TQ12 9 MN,Live Performance,2026-01-09,Attended,Community partner
RI-RI-148413,Sophie Clarke,sophie.clarke50@hotmail.co.uk,PL6 3 JP,Live Performance,2026-01-09,Confirmed,
RI-RI-798531,Amelia Jackson,amelia.jackson72@yahoo.co.uk,TQ2 4 ZF,Live Performance,2026-01-09,Attended,Follow up required
RI-RI-435696,Thomas Thomas,thomas.thomas29@yahoo.co.uk,PL6 5 PB,Live Performance,2026-01-09,Confirmed,Repeat attendee
RI-RI-331382,Poppy Singh,poppy.singh13@gmail.com,PL6 2 QI,Live Performance,2026-01-09,Cancelled,Follow up required
RI-RI-544389,George Perry,george.perry62@gmail.com,PL14 8 GG,Live Performance,2026-01-09,Confirmed,Community partner
RI-RI-887430,Max Walker,max.walker81@hotmail.co.uk,TQ3 3 LL,Live Performance,2026-01-09,Confirmed,Follow up required
RI-RI-887076,Chloe Moore,chloe.moore59@yahoo.co.uk,PL3 6 EW,Live Performance,2026-01-09,Confirmed,
RI-RI-319851,Daniel Jackson,daniel.jackson15@icloud.com,PL4 5 RI,Live Performance,2026-01-09,Cancelled,Community partner
RI-RI-521326,Alice Jackson,alice.jackson80@yahoo.co.uk,PL5 1 NL,Live Performance,2026-01-09,Confirmed,Repeat attendee
RI-RI-734415,Lucy Collins,lucy.collins23@gmail.com,PL6 8 AQ,Live Performance,2026-01-09,Confirmed,
RI-RI-235035,Henry Taylor,henry.taylor60@hotmail.co.uk,PL9 9 AN,Live Performance,2026-01-09,Confirmed,
RI-RI-332526,Joshua Ward,joshua.ward63@hotmail.co.uk,PL5 2 NG,Live Performance,2026-01-09,Confirmed,
RI-RI-697796,Max Bell,max.bell45@hotmail.co.uk,PL21 1 WJ,Live Performance,2026-01-09,Attended,
RI-RI-815898,James Jackson,james.jackson95@gmail.com,TQ4 1 CQ,Live Performance,2026-01-09,Confirmed,Community partner
RI-RI-416359,Lily Cook,lily.cook53@hotmail.co.uk,EX3 1 UB,Live Performance,2026-01-09,Confirmed,Community partner
RI-RI-714086,Mia Turner,mia.turner29@icloud.com,TQ4 9 IU,Annual Celebration,2026-02-20,Confirmed,Community partner
RI-RI-138542,Chloe Bennett,chloe.bennett6@icloud.com,PL6 2 IR,Annual Celebration,2026-02-20,Confirmed,Community partner
RI-RI-984366,Ruby Smith,ruby.smith17@icloud.com,PL4 4 NJ,Annual Celebration,2026-02-20,Confirmed,Follow up required
RI-RI-530050,Henry Cook,henry.cook2@yahoo.co.uk,PL6 7 EJ,Annual Celebration,2026-02-20,Confirmed,Community partner
RI-RI-160525,Ella Baker,ella.baker14@hotmail.co.uk,PL1 2 VT,Annual Celebration,2026-02-20,Confirmed,Community partner
RI-RI-369234,George Walker,george.walker58@hotmail.co.uk,PL7 3 YQ,Annual Celebration,2026-02-20,Cancelled,Follow up required
RI-RI-510064,Poppy Evans,poppy.evans4@icloud.com,PL14 5 XS,Annual Celebration,2026-02-20,Attended,Repeat attendee
RI-RI-236328,Megan White,megan.white84@outlook.com,TQ2 4 CN,Annual Celebration,2026-02-20,Confirmed,
RI-RI-990544,Henry Davies,henry.davies88@gmail.com,PL6 4 YU,Annual Celebration,2026-02-20,Confirmed,
RI-RI-422200,Mia Hill,mia.hill33@outlook.com,PL2 6 UU,Annual Celebration,2026-02-20,Confirmed,
RI-RI-537494,Jacob Davies,jacob.davies54@hotmail.co.uk,TA6 3 YT,Annual Celebration,2026-02-20,Confirmed,Follow up required
RI-RI-448058,Lucas Evans,lucas.evans88@gmail.com,PL9 2 TU,Annual Celebration,2026-02-20,Attended,Community partner
RI-RI-344579,Alfie Singh,alfie.singh60@gmail.com,PL1 3 ZL,Annual Celebration,2026-02-20,Confirmed,Repeat attendee
RI-RI-172865,Mia Hill,mia.hill85@outlook.com,PL5 1 IV,Annual Celebration,2026-02-20,Confirmed,Community partner
RI-RI-412896,Alice Young,alice.young57@icloud.com,TQ12 9 MN,Annual Celebration,2026-02-20,Attended,Community partner
RI-RI-703080,Megan Thomas,megan.thomas52@yahoo.co.uk,PL6 7 ZX,Annual Celebration,2026-02-20,Confirmed,Follow up required
RI-RI-904375,Sophie Martin,sophie.martin85@icloud.com,EX3 5 FM,Annual Celebration,2026-02-20,Confirmed,Community partner
RI-RI-605801,Mia Cooper,mia.cooper74@hotmail.co.uk,PL9 5 HO,Annual Celebration,2026-02-20,Confirmed,
RI-RI-190782,Megan Moore,megan.moore3@gmail.com,EX4 5 OP,Annual Celebration,2026-02-20,Attended,
RI-RI-112898,Max Hill,max.hill97@outlook.com,PL2 8 TV,Annual Celebration,2026-02-20,Confirmed,Follow up required
RI-RI-459393,Jacob Collins,jacob.collins48@hotmail.co.uk,PL1 9 MR,Annual Celebration,2026-02-20,Confirmed,
RI-RI-140925,Joshua Roberts,joshua.roberts93@gmail.com,EX4 3 IF,Annual Celebration,2026-02-20,Confirmed,Follow up required
RI-RI-866830,Lily Jones,lily.jones60@hotmail.co.uk,EX4 6 RZ,Annual Celebration,2026-02-20,Confirmed,Repeat attendee
RI-RI-265428,Olivia Bennett,olivia.bennett30@yahoo.co.uk,PL6 4 RF,Annual Celebration,2026-02-20,Confirmed,Repeat attendee
RI-RI-388799,Alice Allen,alice.allen50@yahoo.co.uk,PL3 3 DT,Annual Celebration,2026-02-20,Confirmed,
RI-RI-527315,Lucas Jackson,lucas.jackson46@gmail.com,PL4 6 RG,Annual Celebration,2026-02-20,Confirmed,
RI-RI-716065,Henry Williams,henry.williams63@outlook.com,PL9 3 CG,Annual Celebration,2026-02-20,Confirmed,
RI-RI-879319,Evie Bell,evie.bell35@yahoo.co.uk,PL5 9 YN,Annual Celebration,2026-02-20,Confirmed,
RI-RI-738169,Charlie Scott,charlie.scott71@outlook.com,TR7 5 KG,Annual Celebration,2026-02-20,Attended,Follow up required
RI-RI-746439,Sophie Hall,sophie.hall71@gmail.com,PL6 9 MH,Annual Celebration,2026-02-20,Confirmed,Repeat attendee
RI-RI-176185,Oliver Wilson,oliver.wilson35@yahoo.co.uk,PL1 3 WS,Annual Celebration,2026-02-20,Confirmed,
RI-RI-108264,Charlie Ward,charlie.ward33@gmail.com,PL9 6 BI,Annual Celebration,2026-02-20,Cancelled,Follow up required
RI-RI-760571,William Johnson,william.johnson3@hotmail.co.uk,PL9 3 FV,Annual Celebration,2026-02-20,Attended,Community partner
RI-RI-436552,Emma Collins,emma.collins17@hotmail.co.uk,PL3 9 PK,Annual Celebration,2026-02-20,Confirmed,Follow up required
RI-RI-112119,Chloe Martin,chloe.martin45@outlook.com,PL4 1 DN,Annual Celebration,2026-02-20,Confirmed,
RI-RI-740423,Oscar Cooper,oscar.cooper29@hotmail.co.uk,PL7 8 SL,Annual Celebration,2026-02-20,Attended,Follow up required
RI-RI-485510,Thomas White,thomas.white51@outlook.com,PL2 7 BA,Annual Celebration,2026-02-20,Confirmed,Community partner
RI-RI-870840,Jessica Smith,jessica.smith26@outlook.com,PL6 4 QO,Annual Celebration,2026-02-20,Cancelled,Repeat attendee
RI-RI-678072,Ella Bell,ella.bell87@icloud.com,PL9 2 TO,Annual Celebration,2026-02-20,Confirmed,Follow up required
RI-RI-151007,Noah Moore,noah.moore85@icloud.com,PL6 5 AF,Annual Celebration,2026-02-20,Attended,Follow up required
RI-RI-568470,Freya Ahmed,freya.ahmed35@outlook.com,TA1 1 HR,Annual Celebration,2026-02-20,Confirmed,
RI-RI-879981,Emma Bell,emma.bell29@outlook.com,PL3 3 ZB,Annual Celebration,2026-02-20,Confirmed,Community partner
RI-RI-658233,Sophie Cook,sophie.cook15@yahoo.co.uk,PL6 2 IP,Annual Celebration,2026-02-20,Attended,Follow up required
RI-RI-407144,George Evans,george.evans23@outlook.com,PL1 8 NP,Annual Celebration,2026-02-20,Attended,
RI-RI-607227,Thomas Davies,thomas.davies23@icloud.com,TA1 6 PV,Annual Celebration,2026-02-20,Confirmed,
RI-RI-179170,Chloe White,chloe.white97@yahoo.co.uk,EX2 4 BT,Annual Celebration,2026-02-20,Confirmed,Follow up required
RI-RI-604725,Phoebe Collins,phoebe.collins62@icloud.com,PL4 8 OY,Annual Celebration,2026-02-20,Confirmed,Repeat attendee
RI-RI-477984,Charlie Wilson,charlie.wilson53@outlook.com,PL6 2 MB,Annual Celebration,2026-02-20,Attended,Community partner
RI-RI-565273,Lucas Scott,lucas.scott92@gmail.com,TA6 8 CW,Annual Celebration,2026-02-20,Confirmed,Follow up required
RI-RI-780637,Sophie Collins,sophie.collins91@outlook.com,TR1 4 WL,Theatre Night,2026-03-03,Cancelled,Follow up required
RI-RI-589550,Jessica Clarke,jessica.clarke26@yahoo.co.uk,PL7 6 PU,Theatre Night,2026-03-03,Attended,Repeat attendee
RI-RI-771993,Lucas Murphy,lucas.murphy54@gmail.com,TR1 5 EC,Theatre Night,2026-03-03,Attended,
RI-RI-963091,Charlotte Brown,charlotte.brown71@hotmail.co.uk,TQ4 3 XL,Theatre Night,2026-03-03,Attended,
RI-RI-869051,Lucy Thomas,lucy.thomas92@yahoo.co.uk,PL4 5 IO,Theatre Night,2026-03-03,Confirmed,Follow up required
RI-RI-219111,Chloe Young,chloe.young72@yahoo.co.uk,PL3 2 OH,Theatre Night,2026-03-03,Attended,Follow up required
RI-RI-658796,Joshua Walker,joshua.walker88@yahoo.co.uk,PL7 5 HI,Theatre Night,2026-03-03,Attended,
RI-RI-878885,Alfie Morgan,alfie.morgan77@outlook.com,TA1 9 NT,Theatre Night,2026-03-03,Attended,
RI-RI-153876,Ethan Roberts,ethan.roberts36@yahoo.co.uk,TQ1 7 FH,Theatre Night,2026-03-03,Confirmed,Community partner
RI-RI-793157,Lucy Evans,lucy.evans98@yahoo.co.uk,PL7 8 WL,Theatre Night,2026-03-03,Confirmed,Community partner
RI-RI-851488,Henry Ahmed,henry.ahmed38@gmail.com,PL2 8 EC,Theatre Night,2026-03-03,Confirmed,
RI-RI-427049,Alfie Walker,alfie.walker51@hotmail.co.uk,PL4 3 TZ,Theatre Night,2026-03-03,Confirmed,
RI-RI-807415,Charlie Jackson,charlie.jackson30@gmail.com,PL6 4 FA,Theatre Night,2026-03-03,Cancelled,
RI-RI-571070,Evie Ward,evie.ward29@hotmail.co.uk,PL2 3 HH,Theatre Night,2026-03-03,Attended,
RI-RI-258292,Ethan Hill,ethan.hill55@outlook.com,PL9 4 JF,Theatre Night,2026-03-03,Attended,Community partner
RI-RI-441923,Jack Murphy,jack.murphy89@gmail.com,PL6 5 LE,Theatre Night,2026-03-03,Cancelled,
RI-RI-126925,Olivia Walker,olivia.walker12@icloud.com,PL5 9 ZT,Theatre Night,2026-03-03,Confirmed,
RI-RI-603200,Chloe Taylor,chloe.taylor18@icloud.com,PL4 4 YM,Theatre Night,2026-03-03,Confirmed,
RI-RI-111500,Thomas Thomas,thomas.thomas29@yahoo.co.uk,PL6 5 PB,Theatre Night,2026-03-03,Confirmed,Community partner
RI-RI-324855,Sophie Allen,sophie.allen58@hotmail.co.uk,TQ1 2 TM,Theatre Night,2026-03-03,Confirmed,Follow up required
RI-RI-562644,Henry Green,henry.green57@icloud.com,PL3 5 XF,Theatre Night,2026-03-03,Attended,Follow up required
RI-RI-887926,Jessica Williams,jessica.williams28@hotmail.co.uk,TA1 2 DX,Theatre Night,2026-03-03,Confirmed,Community partner
